Subject,Predicate,Object
Medieval Sword,taken from,https://www.metmuseum.org/art/collection/search/25601
Medieval Sword,is possible representation of,Excalibur
Medieval Sword,has title,"Sword"
Medieval Sword,has type,artifact
Medieval Sword,has length,95.3 cm
Medieval Sword,has width,11.4 cm
Medieval Sword,has weight,1190 g
Medieval Sword,has material,iron alloy
Medieval Sword,is manufactured during,Middle Age
Medieval Sword,originates from,Western Europe
Medieval Sword,has creation period,12th–13th century
Medieval Sword,has hilt type,Oakeshott Type XII
Medieval Sword,held by,Metropolitan Museum of Art
Medieval Sword,is part of,Arms and Armor Collection
Medieval Sword,has accession year,1907
Medieval Sword,has accession number,07.53.2
Medieval Sword,donated by,Jacob S. Rogers



