Subject,Predicate,Object
sits:thing_Arthurian_Romance,owl:sameAs,wd:Q715768
sits:person_Merlin,owl:sameAs,wd:Q188044
sits:person_King_Arthur,owl:sameAs,wd:Q45792
sits:period_Middle_Ages,owl:sameAs,wd:Q12554
sits:thing_Excalibur,owl:sameAs,wd:Q187880
sits:country_UK,owl:sameAs,gn:2635167
sits:city_NY,owl:sameAs,gn:5128581
sits:country_USA,owl:sameAs,gn:6252001
sits:language_English,owl:sameAs,wd:Q1860
sits:language_Italian,owl:sameAs,wd:Q652
sits:thing_Metropolitan,owl:sameAs,wd:Q160236
sits:person_Walt_Disney,owl:sameAs,viaf:64197728
sits:corporate_DisneyCo,owl:sameAs,viaf:125399337
sits:corporate_DisneyProd,owl:sameAs,sits:corporate_DisneyCo
sits:organization_Archive_Bologna,owl:sameAs,viaf:154202136
sits:corporate_DisneylandRec,owl:sameAs,wd:Q3710134
sits:concept_legend,dcterms:subject,sits:thing_Arthurian_Romance
sits:thing_Arthurian_Romance,dcterms:created,sits:period_Middle_Ages
sits:thing_Arthurian_Romance,dcterms:spatial,sits:country_UK
sits:person_King_Arthur,schema:subjectOf,sits:thing_Arthurian_Romance
sits:person_King_Arthur,schema:owns,sits:thing_Excalibur
sits:thing_Excalibur,schema:subjectOf,sits:concept_legend
sits:language_English,wd:P2936,sits:country_UK
sits:city_NY,gn:locatedIn,sits:country_USA
sits:thing_Metropolitan,rdf:type,wd:Q207694
sits:thing_Metropolitan,schema:locatedIn,sits:city_NY
sits:corporate_DisneyCo,wd:P17,sits:country_USA
sits:corporate_DisneyCo,wd:P112,sits:person_Walt_Disney
sits:corporate_DisneylandRec,wd:P112,sits:person_Walt_Disney
sits:corporate_DisneylandRec,wd:P17,sits:country_USA
sits:person_Merlin,schema:subjectOf,sits:thing_Arthurian_Romance
sits:thing_Arthurian_Romance,schema:about,wd:Q1644266
viaf:70474651,gndo:preferredName,"Haugwitz, Carlo"
wd:Q120668916,rdf:type,aat:300202580
wd:Q120668917,bf:heldBy,sits:organization_Archive_Bologna
viaf:64197728,foaf:knows,viaf:88077600 
viaf:88077600,foaf:knows,viaf:64197728
viaf:64197728,schema:hasOccupation,aat:300025671
viaf:64197728,schema:worksFor,sits:corporate_DisneylandRec
viaf:64197728,schema:birthPlace,sits:city_NY
viaf:88077600,schema:hasOccupation,aat:300025671
viaf:88077600,schema:worksFor,sits:corporate_DisneylandRec
viaf:88077600,schema:birthPlace,sits:city_NY
viaf:56494607,schema:hasOccupation,wd:Q43845
viaf:56494607,schema:funder,sits:thing_Metropolitan
viaf:56494607,schema:deathPlace,sits:city_NY
viaf:102321347,crm:P51i_is_former_or_current_owner_of,wd:Q77603420
viaf:102321347,schema:hasOccupation,aat:300115251
viaf:74660028,schema:birthPlace,sits:country_USA
viaf:74660028,schema:hasOccupation,aat:300115251
viaf:74660028,schema:hasOccupation,wd:Q862571
viaf:74660028,schema:funder,sits:thing_Metropolitan
viaf:28170084,schema:birthPlace,crm:E53_Place
viaf:139431033,schema:locatedIn,crm:E53_Place
wd:Q115055140,crm:P7_took_place_at,sits:thing_Metropolitan
