Subject,Predicate,Object
The sword in the stone,is topic of,Arthurian Romance
Arthurian Romance,created during,Middle Ages
Arthurian Romance,is set in,United Kingdom
King Arthur,is part of,Arthurian Romance
King Arthur,is owner of,Excalibur
King Arthur,is part of,sits:item_show
Excalibur,appears in,The sword in the stone
English,is spoken in,United Kingdom
New York,located in,USA
Metropolitan Museum of Arts,has type,art museum
Metropolitan Museum of Arts,located in,New York
The Walt Disney Company,originated in,USA
The Walt Disney Company,co-founded by,Walt Disney
Walt Disney Productions,equivalent class,The Walt Disney Companny
Disneyland Records,co-founded by,Walt Disney
Disneyland Records,originated in,USA
Richard M. Sherman,is sibling of,Robert B. Sherman
Robert B. Sherman,is sibling of,Richard B. Sherman
Richard M. Sherman,has occupation,composer 
Richard M. Sherman,works for,Disneyland Records 
Richard M. Sherman,was born in,New York
Robert B. Sherman,has occupation,composer 
Robert B. Sherman,works for,Disneyland Records 
Robert B. Sherman,was born in,New York
Jacob S. Rogers,has occupation,business man 
Jacob S. Rogers,benefactor of,Metropolitan Museum of Art 
Jacob S. Rogers,died in,New York
Jean Duke of Berry,collected,Heroes Tapestries Serie
Jean Duke of Berry,has occupation,philanthropist
John D. Rockefeller Jr.,was born in,USA
John D. Rockefeller Jr.,has occupation,philanthropist
John D. Rockefeller Jr.,benefactor of,Metropolitan Museum of Art



