Subject,Predicate,Object
Merlin (tv show),taken from,https://www.imdb.com/it/title/tt1199099/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_merlin
Merlin (tv show),has title,Merlin
Merlin (tv show),is also known as,The Adventures of Merlin
Merlin (tv show),is instance of,television series
Merlin (tv show),has original broadcaster,BBC One
Merlin (tb show),has IMDb identifier,tt1199099
Merlin (tv show),is named after,Merlin
Merlin (tv show),is based on,Arthurian romance
Merlin (tv show),has genre,fantasy television series
Merlin (tv show),has genre,adventure television series
Merlin (tv show),has genre,drama television series
Merlin (tv show),has country of origin,United Kingdom
Merlin (tv show),has original language,English
Merlin (tv show),has number of seasons,5
Merlin (tv show),started in,20 September 2008
Merlin (tv show),ended in,24 December 2012


Il mago Merlino (book),taken from,https://www.digitale-sammlungen.de/en/details/bsb10035504
Il mago Merlino (book),has author,Carlo Haugwits
Il mago Merlino (book),has identifier,urn:nbn:de:bvb:12-bsb10035504-6
Il mago Merlino (book),has OCLC identifier,163260542
Il mago Merlino (book),has place of publication,Milano
Il mago Merlino (book),has title,"Il mago Merlino: Memorie, traduzioni, leggende. Raccolte da Carlo Haugwitz, aggiuntavi la tregenda di Merlino, la notte del 19 marzo 1865. Tre tomi in uno"
Il mago Merlino (book),is issued in,1865
Il mago Merlino (book),has shelfmark,P.o.rel. 713
Il mago Merlino (book),has extent,"LV, 359 S."
Il mago Merlino (book),has publication statement,Milano: Corradetti 1865
Il mago Merlino (book),has publisher,Corradetti
Il mago Merlino (book),has subject,Merlin


La spada nella roccia (poster),taken from,https://www.internetculturale.it/it/16/search/detail?id=oai%3Awww.internetculturale.sbn.it%2FTeca%3A20%3ANT0000%3AFOG420723La spada nella roccia (poster),has title,La spada nella roccia
La spada nella roccia (poster),represents,The sword in the stone
La spada nella roccia (poster),has other title,The sword in the stone
La spada nella roccia (poster),has identifier,FOG420723
La spada nella roccia (poster),has digital format,tiff ; jpeg
La spada nella roccia (poster),has state of digitisation,complete
La spada nella roccia (poster),has access,public
La spada nella roccia (poster),has agency,Biblioteca Provinciale La Magna Capitana - Foggia
La spada nella roccia (poster),is part of collection,Manifesti cinematografici dal Secondo dopoguerra agli anni Settanta del Novecento
La spada nella roccia (poster),has provenance,Biblioteca provinciale La Magna Capitana - Foggia - IT-FG0046; Inventario : Man 2206 ; segnatura : Man. US Rei SPA m
La spada nella roccia (poster),has keyword,"741.580973 - Disegni d'animazione (cartoni animati), Stati Uniti"
La spada nella roccia (poster),has language,Italian
La spada nella roccia (poster),has format,"1 poster : litography, color. ; 70x33 cm"
La spada nella roccia (poster),has bibliographic level,monography
La spada nella roccia (poster),is type of document,graphic material
La spada nella roccia (poster),has date of publication,1967
La spada nella roccia (poster),has editorial data,[S.I. : s.n.] ; Roma : Rotopress
La spada nella roccia (poster),depicts,The sword in the stone (animation)
La spada nella roccia (poster),depicts,King Arthur
La spada nella roccia (poster),depicts,Merlin
La spada nella roccia (poster),depicts,Sword
La spada nella roccia (poster),represents,The sword in the stone


The sword in the stone (animation),taken from,http://opac2.icbsa.it/vufind/Record/IT-DDS0000016223000000/Details#tabnav
The sword in the stone (animation),has main author,Wolfgang Reitherman
The sword in the stone (animation),has identifier,IT-DDS0000016223000000
The sword in the stone (animation),has other author,T. H. White
The sword in the stone (animation),has other author,Walt Disney
The sword in the stone (animation),has format,videotape
The sword in the stone (animation),has language,Italian
The sword in the stone (animation),has publisher,Milano BUENA VISTA HOME ENTERTAINMENT 1986
The sword in the stone (animation),is part of series,Grandi classici Walt Disney
The sword in the stone (animation),has producer,The Walt Disney Company
The sword in the stone (animation),has soundtrack,The sword in the stone (music)
The sword in the stone (animation),is based on,Arthurian romance
The sword in the stone (animation),represents,The sword in the stone
The sword in the stone (animation),portrays,King Arthur
The sword in the stone (animation),portrays,Merlin
The sword in the stone (animation),portrays,Sword








