Subject,Predicate,Object
The sword in the stone (animation),has topic,The sword in the stone
The sword in the stone (animation),is part of,Arthurian Romance
The sword in the stone (animation),has main author,"Reitherman, Wolfgang"
The sword in the stone (animation),has other authors,"White, T.H., Bruns, George, Davis, Marc, Johnston, Oliver jr., Kahl, Milt, Larson, Eric, Lounsbery, John, Thomas, Franklin, Disney, Walt, Peet, Bill, Anderson, Ken"
The sword in the stone (animation),has format,videotape
The sword in the stone (animation),has language,Italian
The sword in the stone (animation),has publisher,Milano BUENA VISTA HOME ENTERTAINMENT 1986
The sword in the stone (animation),is parto of series,Grandi classici Walt Disney
The sword in the stone (animation),has identifier,IT-DDS0000016223000000
The sword in the stone (animation),has been produced by,The Walt Disney Company
The sword in the stone (animation),has depiction of,Merlin (person)
The sword in the stone (animation),has depiciton of,King Arthur (person)
