Subject,Predicate,Object
sits:item_poster,dcterms:source,https://www.internetculturale.it/it/16/search/detail?id=oai%3Awww.internetculturale.sbn.it%2FTeca%3A20%3ANT0000%3AFOG420723
sits:item_poster,crm:P138_represents,The sword in the stone
sits:item_poster,dcterms:title,La spada nella roccia
sits:item_poster,dcterms:relation,The sword in the stone
sits:item_poster,dcterms:identifier,FOG420723
sits:item_poster,metadigit:format,tiff ; jpeg
sits:item_poster,metadigit:completeness,0
sits:item_poster,metadigit:access_rights,1
sits:item_poster,metadigit:agency,viaf:11159032645401181381
sits:item_poster,metadigit:collection,Manifesti cinematografici dal Secondo dopoguerra agli anni Settanta del Novecento
sits:item_poster,metadigit:holdings,Biblioteca provinciale La Magna Capitana - Foggia - IT-FG0046; Inventario : Man 2206 ; segnatura : Man. US Rei SPA m
sits:item_poster,dcterms:subject,741.580973 - Disegni d'animazione (cartoni animati). Stati Uniti
sits:item_poster,dcterms:language,wd:Q652
sits:item_poster,metadigit:format,1 poster : litography; color. ; 70x33 cm
sits:item_poster,rdf:type,bf:Monograph
sits:item_poster,rdf:type,tgm:tgm008104
sits:item_poster,dcterms:date,1967
sits:item_poster,dcterms:publisher,[S.I. : s.n.] ; Roma : Rotopress
sits:item_poster,foaf:depicts,sits:item_animation
sits:item_poster,foaf:depicts,wd:Q45792
sits:item_poster,foaf:depicts,wd:Q188044
sits:item_poster,foaf:depicts,sits:item_sword
sits:item_poster,schema:about,The sword in the stone
