Subject,Predicate,Object
sits:item_sculpture,dcterms:source,https://www.metmuseum.org/art/collection/search/768510
sits:item_sculpture,crm:P102_has_title,King Arthur
sits:item_sculpture,crm:P45_consists_of,aat:300010957
sits:item_sculpture,schema:dateCreated,1891
sits:item_sculpture,rdf:type,aat:300047090
sits:item_sculpture,crm:P12i_was_present_at,wd:Q115055140
sits:item_sculpture,crm:P49_has_former_or_current_keeper,viaf:139431033
sits:item_sculpture,schema:height,H. 23 3/16 in (59 cm)
sits:item_sculpture,crm:P62_depicts,sits:person_King_Arthur
sits:item_sculpture,schema:creator,viaf:28170084
sits:item_sculpture,schema:locationCreated,gn:2782113
