subject,predicate,object
The sword in the stone (music),taken from,https://musicbrainz.org/release-group/39c7b94c-cef7-4d54-9632-f07887d7ddab
The sword in the stone (music),has title,The Sword in the Stone
The sword in the stone (music),has type,album
The sword in the stone (music),has type,soundtrack
The sword in the stone (music),released in,USA
The sword in the stone (music),has release date,1963
The sword in the stone (music),has language,English
The sword in the stone (music),released by,Disneyland Records
The sword in the stone (music),has genre,orchestral music
The sword in the stone (music),is inspired by,English folk music
The sword in the stone (music),has catalog number,ST 4901
The sword in the stone (music),has composer,Richard M. Sherman
The sword in the stone (music),has composer,Robert B. Sherman
The sword in the stone (music),has producer,The Walt Disney Company
