Subject,Predicate,Object
Manuscript fragment,taken from,https://manus.iccu.sbn.it/risultati-ricerca-manoscritti/-/manus-search/detail/804304?struct%3A1016=ricerca.parole_tutte%3A4%3D6&item%3A1016%3AKeywords=Ciclo+Arturiano&fieldstruct%5B0%5D=ricerca.parole_tutte%3A4%3D6&fieldaccess%5B0%5D=nome_t%3A1003&struct%3A5003=ricerca.parole_tutte%3A4%3D6&struct%3A7007=ricerca.parole_tutte%3A4%3D6&struct%3A20044=ricerca.parole_tutte%3A4%3D6&struct%3A4=ricerca.parole_tutte%3A4%3D6&struct%3A5005=ricerca.parole_tutte%3A4%3D6&struct%3A5004=ricerca.parole_tutte%3A4%3D6&struct%3A20046=ricerca.parole_tutte%3A4%3D6&struct%3A4091=ricerca.parole_tutte%3A4%3D6&struct%3A5091=ricerca.parole_tutte%3A4%3D6&struct%3A9041=ricerca.parole_tutte%3A4%3D6&struct%3A3041=ricerca.parole_tutte%3A4%3D6&struct%3A5041=ricerca.parole_tutte%3A4%3D6&&item%3A4088%3Afondi%5B%5D=Archivio+di+Stato+di+Bologna%7C%7C%7CIT-BO0514%7C%7C%7CBologna%7C%7C%7CFrammenti+manoscritti&struct:4088=ricerca.frase:4=1
Manuscript fragment,has identifier,CNMD\0000291388
Manuscript fragment,has type,Manuscript
Manuscript fragment,published in,1300-1400
Manuscript fragment,has material,Parchment
Manuscript fragment,is part of,Arthurian Romance
Manuscript fragment,has language,Gothic
Manuscript fragment,has provenance,"Fondo: ASBo, Tribunale del Torrone, Libri mandatorum, 5.2.1613-20.12.1613"
Manuscript fragment,has current location,Archivio di Stato di Bologna
Manuscript fragment,is part of,"""Prophecies de Merlin"""
Manuscript fragment,has height,H. 350 mm
Manuscript fragment,has width,W. 160 mm
Manuscript fragment,has the shelfmark,"Bologna, Archivio di Stato, Raccolta di manoscritti, Busta 1, n. 4, frammento b"
Manuscript fragment,is published during,Middle Age
