Subject,Predicate,Object
King Arthur (sculpture),taken from,https://www.metmuseum.org/art/collection/search/768510
King Arthur (sculpture),has title,King Arthur
King Arthur (sculpture),has material,Bronze
King Arthur (sculpture),created in,1891
King Arthur (sculpture),has type,Scultpure
King Arthur (sculpture),is part of,"""The Last Knight: The Art, Armor, and Ambition of Maximilian I"" exhibition"
King Arthur (sculpture),landed by,"Tiroler Landesmuseum Ferdinandeum, Innsbruck, Austria, Ältere Kunstgeschichtliche Sammlungen"
King Arthur (sculpture),has height,H. 23 3/16 in (59 cm)
King Arthur (sculpture),has subject,King Arthur
King Arthur (sculpture),has artist,Heinrich Fuss
King Arthur (sculpture),originating from,Austria
