Subject,Predicate,Object
Merlin (tv show),taken from,https://www.imdb.com/it/title/tt1199099/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_merlin
Merlin (tv show),has title,Merlin
Merlin (tv show),is also known as,The Adventures of Merlin
Merlin (tv show),is instance of,television series
Merlin (tv show),has creator,Johnny Capps
Merlin (tv show),has creator,Julian Jones
Merlin (tv show),has creator,Jake Michie
Merlin (tv show),has producer,Shine
Merlin (tv show),has producer,BBC Wales
Merlin (tv show),has producer,BBC Studios
Merlin (tb show),has identifier,tt1199099
Merlin (tv show),is named after,Merlin
Merlin (tv show),is based on,Arthurian romance
Merlin (tv show),has genre,fantasy television series
Merlin (tv show),has genre,adventure television series
Merlin (tv show),has genre,drama television series
Merlin (tv show),has country of origin,United Kingdom
Merlin (tv show),has language,English
Merlin (tv show),has language,Old English
Merlin (tv show),has number of seasons,5
Merlin (tv show),started in,20 September 2008
Merlin (tv show),has actor,John Hurt
Merlin (tv show),has actor,Colin Morgan
Merlin (tv show),has actor,Bradley James
Merlin (tv show),has subject,King Arthur
