Subject,Predicate,Object
La spada nella roccia (poster),taken from,https://www.internetculturale.it/it/16/search/detail?id=oai%3Awww.internetculturale.sbn.it%2FTeca%3A20%3ANT0000%3AFOG420723La spada nella roccia (poster),has title,La spada nella roccia
La spada nella roccia (poster),represents,The sword in the stone
La spada nella roccia (poster),has other title,The sword in the stone
La spada nella roccia (poster),has identifier,FOG420723
La spada nella roccia (poster),has digital format,tiff ; jpeg
La spada nella roccia (poster),has state of digitisation,complete
La spada nella roccia (poster),has access,public
La spada nella roccia (poster),has agency,Biblioteca Provinciale La Magna Capitana - Foggia
La spada nella roccia (poster),is part of collection,Manifesti cinematografici dal Secondo dopoguerra agli anni Settanta del Novecento
La spada nella roccia (poster),has provenance,Biblioteca provinciale La Magna Capitana - Foggia - IT-FG0046; Inventario : Man 2206 ; segnatura : Man. US Rei SPA m
La spada nella roccia (poster),has keyword,"741.580973 - Disegni d'animazione (cartoni animati), Stati Uniti"
La spada nella roccia (poster),has language,Italian
La spada nella roccia (poster),has format,"1 poster : litography, color. ; 70x33 cm"
La spada nella roccia (poster),has bibliographic level,monography
La spada nella roccia (poster),is type of document,graphic material
La spada nella roccia (poster),has date of publication,1967
La spada nella roccia (poster),has editorial data,[S.I. : s.n.] ; Roma : Rotopress
La spada nella roccia (poster),depicts,The sword in the stone (animation)
La spada nella roccia (poster),depicts,King Arthur
La spada nella roccia (poster),depicts,Merlin
La spada nella roccia (poster),depicts,Sword
La spada nella roccia (poster),represents,The sword in the stone
