Subject,Predicate,Object
Sword,is possible representation of,Excalibur
Sword,has title,"Sword"
Sword,has type,artifact
Sword,has length,95.3 cm
Sword,has width,11.4 cm
Sword,has weight,1190 g
Sword,has material,iron alloy
Sword,is manufactured during,Middle Age
Sword,originates from,Western Europe
Sword,has creation period,12th–13th century
Sword,has hilt type,Oakeshott Type XII
Sword,held by,Metropolitan Museum of Art
Sword,is part of,Arms and Armor Collection
Sword,has accession year,1907
Sword,has accession number,07.53.2
Sword,donated by,Jacob S. Rogers
