Subject,Predicate,Object
sits:item_sculpture,dcterms:source,https://www.metmuseum.org/art/collection/search/768510
sits:item_sculpture,crm:P102_has_title,King Arthur
sits:item_sculpture,crm:P45_consiste_of,aat:300010957
sits:item_sculpture,schema:dateCreated,1891
sits:item_sculpture,rdf:type,aat:300047090
sits:item_sculpture,crm:P46i_forms_part_of,"""The Last Knight: The Art, Armor, and Ambition of Maximilian I"" exhibition"
sits:item_sculpture,crm:P49_has_current_or_former_keeper,viaf:139431033
sits:item_sculpture,schema:height,H. 23 3/16 in (59 cm)
sits:item_sculpture,SKOS:Concept?/ crm:P62_depicts/ crm:P138_represents,wd:Q45792
sits:item_sculpture,schema:creator,viaf:28170084
sits:item_sculpture,schema:locationCreated,gn:2782113
