Subject,Predicate,Object
Frammento manoscritto,taken from,https://manus.iccu.sbn.it/risultati-ricerca-manoscritti/-/manus-search/detail/804304?struct%3A1016=ricerca.parole_tutte%3A4%3D6&item%3A1016%3AKeywords=Ciclo+Arturiano&fieldstruct%5B0%5D=ricerca.parole_tutte%3A4%3D6&fieldaccess%5B0%5D=nome_t%3A1003&struct%3A5003=ricerca.parole_tutte%3A4%3D6&struct%3A7007=ricerca.parole_tutte%3A4%3D6&struct%3A20044=ricerca.parole_tutte%3A4%3D6&struct%3A4=ricerca.parole_tutte%3A4%3D6&struct%3A5005=ricerca.parole_tutte%3A4%3D6&struct%3A5004=ricerca.parole_tutte%3A4%3D6&struct%3A20046=ricerca.parole_tutte%3A4%3D6&struct%3A4091=ricerca.parole_tutte%3A4%3D6&struct%3A5091=ricerca.parole_tutte%3A4%3D6&struct%3A9041=ricerca.parole_tutte%3A4%3D6&struct%3A3041=ricerca.parole_tutte%3A4%3D6&struct%3A5041=ricerca.parole_tutte%3A4%3D6&&item%3A4088%3Afondi%5B%5D=Archivio+di+Stato+di+Bologna%7C%7C%7CIT-BO0514%7C%7C%7CBologna%7C%7C%7CFrammenti+manoscritti&struct:4088=ricerca.frase:4=1
Frammento manoscritto,has identifier,CNMD\0000291388
Frammento manoscritto,has type,Manuscript
Frammento manoscritto,published in,1300-1400
Frammento manoscritto,has material,Parchment
Frammento manoscritto,is part of,Arthurian Romance
Frammento manoscritto,has language,Gothic
Frammento manoscritto,has provenance,"Fondo: ASBo, Tribunale del Torrone, Libri mandatorum, 5.2.1613-20.12.1613"
Frammento manoscritto,has current location,Archivio di Stato di Bologna
Frammento manoscritto,is part of,"""Prophecies de Merlin"""
Frammento manoscritto,has height,H. 350 mm
Frammento manoscritto,has width,W. 160 mm
Frammento manoscritto,has the shelfmark,"Bologna, Archivio di Stato, Raccolta di manoscritti, Busta 1, n. 4, frammento b"
Frammento manoscritto,is published during,Middle Age
