Subject,Predicate,Object
Il mago Merlino,gndo:preferredName,Carlo Haugwits
Il mago Merlino,dct:identifier,urn:nbn:de:bvb:12-bsb10035504-6,BV020234485
Il mago Merlino,rda:placeOfPublication,Milano
Il mago Merlino,dc:title,"Il mago Merlino : Memorie, traduzioni, leggende Raccolte da Carlo Haugwitz, aggiuntavi la tregenda di Merlino, la notte del 19 marzo 1865. Tre tomi in uno"
Il mago Merlino,dct:issued,1865
Il mago Merlino,bf:shelfamrk,P.o.rel. 713
Il mago Merlino,dct:extent,LV 359 S.
Il mago Merlino,rda:publicationStatement,Milano: Corradetti 1865
Il mago Merlino,dc:publisher,Corradetti


