Item,Object Type,Manifestation,Provider,Metadata Standard
Medieval Sword,Artifact,Medieval sword,Metropolitan Museum of Art,CDWA*
Merlin's Prophecies Manuscript,Artwork,Manuscript,Manus Online - Manoscritti delle biblioteche italiane,TEI/XML
King Arthur - from the Heroes Tapestries,Artwork,Tapestry,Metropolitan Museum of Art,CDWA*
"Il Mago Merlino: Memorie, Tradizioni, Leggende",Book,Print,Munich Digitization Center - Bavarian State Library (BSB),MARC21
King Arthur's Sculpture,Artefact,Statue-Bronze,Metropolitan Museum of Art,CDWA*
The sword in the stone,Animation Movie,Videotape,ICBSA,UNIMARC
The sword in the stone,Music,Vinyl,MusicBrainz,XML/MMD
The sword in the stone,Manifesto,Poster,Biblioteca provinciale La Magna Capitana - Foggia,SCHEMA MAG
Merlin,Media,TV show,IMDb,Schema*
King Arthur,Game,Board Game,BoardGameGeek,Schema*
